file_name,page_index,row_index,column_index,text,x_min,y_min,x_max,y_max,confidence,ocr_engine,cell_image_path,page_image_path,text_bbox
PG-14373 - Logs-pages-1.pdf,0,0,0,"Griffith University Client: Commenced: 17/10/2025 Project Name: Proposed Sensor Testing Logged By: SD Hole Location: 1 Parklands Drive, Southport Checked By: Hole Position:",177,435,2388,648,0.99481001496315,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r000_c00.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 207, 'y_min': 448, 'x_max': 1937, 'y_max': 635}"
PG-14373 - Logs-pages-1.pdf,0,1,0,No survey Drill Model and Mounting: IH50 2019 RL Surface: Hole Diameter: Datum: AHD Operator: MW,177,648,2388,754,0.983859101931254,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r001_c00.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 209, 'y_min': 657, 'x_max': 2128, 'y_max': 744}"
PG-14373 - Logs-pages-1.pdf,0,2,0,Drilling Information,177,754,839,849,0.9911489486694336,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r002_c00.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 362, 'y_min': 790, 'x_max': 657, 'y_max': 820}"
PG-14373 - Logs-pages-1.pdf,0,2,1,Soil Description,839,754,1866,849,0.9989229440689087,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r002_c01.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 1233, 'y_min': 790, 'x_max': 1474, 'y_max': 820}"
PG-14373 - Logs-pages-1.pdf,0,2,2,DCP,1866,754,2388,849,0.9994761347770691,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r002_c02.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 2089, 'y_min': 785, 'x_max': 2165, 'y_max': 822}"
PG-14373 - Logs-pages-1.pdf,0,3,0,Method,177,849,236,1085,0.9999406933784485,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r003_c00.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 190, 'y_min': 964, 'x_max': 222, 'y_max': 1065}"
PG-14373 - Logs-pages-1.pdf,0,3,1,Casing,236,849,295,1085,0.9998462796211243,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r003_c01.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 247, 'y_min': 968, 'x_max': 286, 'y_max': 1068}"
PG-14373 - Logs-pages-1.pdf,0,3,2,Water,295,849,354,1085,0.9994926452636719,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r003_c02.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 308, 'y_min': 979, 'x_max': 341, 'y_max': 1066}"
PG-14373 - Logs-pages-1.pdf,0,3,3,Samples Tests Remarks,354,849,567,1085,0.9996591409047445,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r003_c03.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 408, 'y_min': 919, 'x_max': 514, 'y_max': 1014}"
PG-14373 - Logs-pages-1.pdf,0,3,4,Recovery,567,849,602,1085,0.9999552965164185,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r003_c04.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 570, 'y_min': 941, 'x_max': 601, 'y_max': 1064}"
PG-14373 - Logs-pages-1.pdf,0,3,5,RL (m),602,849,685,1085,0.9961452782154083,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r003_c05.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 621, 'y_min': 1000, 'x_max': 668, 'y_max': 1068}"
PG-14373 - Logs-pages-1.pdf,0,3,6,Depth (m),685,849,839,1085,0.9985933303833008,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r003_c06.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 733, 'y_min': 1005, 'x_max': 803, 'y_max': 1065}"
PG-14373 - Logs-pages-1.pdf,0,3,7,Graphic Log,839,849,921,1085,0.9997829794883728,paddle,outputs_paddle\cells\PG-14373 - Logs-pages-1_page_000_r003_c07.png,outputs_paddle\pages\PG-14373 - Logs-pages-1_page_000.png,"{'x_min': 865, 'y_min': 907, 'x_max': 895, 'y_max': 1062}"
