file_name,page_index,row_index,depth_from_m,depth_to_m,description,raw_cells_json
PG-14373 - Logs-pages-1.pdf,0,0,17.0,10.0,,"{""0"": ""Griffith University Client: Commenced: 17/10/2025 Project Name: Proposed Sensor Testing Logged By: SD Hole Location: 1 Parklands Drive, Southport Checked By: Hole Position:""}"
PG-14373 - Logs-pages-1.pdf,0,1,50.0,2019.0,,"{""0"": ""No survey Drill Model and Mounting: IH50 2019 RL Surface: Hole Diameter: Datum: AHD Operator: MW""}"
PG-14373 - Logs-pages-1.pdf,0,2,,,DCP,"{""0"": ""Drilling Information"", ""1"": ""Soil Description"", ""2"": ""DCP""}"
PG-14373 - Logs-pages-1.pdf,0,3,3.2,1997.0,"Water Samples Tests Remarks Recovery RL (m) Depth (m) Graphic Log Classification Symbol Material Description Fraction, Colour, Structure, Bedding. Plasticity, Sensitivity, Additional DCP TEST (AS 1289.6.3.2-1997) Blows per 100 mm 0 5 10 15 20 25","{""0"": ""Method"", ""1"": ""Casing"", ""2"": ""Water"", ""3"": ""Samples Tests Remarks"", ""4"": ""Recovery"", ""5"": ""RL (m)"", ""6"": ""Depth (m)"", ""7"": ""Graphic Log"", ""8"": ""Classification Symbol"", ""9"": ""Material Description Fraction, Colour, Structure, Bedding. Plasticity, Sensitivity, Additional"", ""10"": ""DCP TEST (AS 1289.6.3.2-1997) Blows per 100 mm 0 5 10 15 20 25""}"
PG-14373 - Logs-pages-1.pdf,0,4,,,"0.30 GM FILL Silty Sandy GRAVEL (GM) Dense, fine to coarse sized, light yellow brown, fine to coarse grained sand, low plasticity fines, dry.","{""0"": """", ""1"": """", ""2"": """", ""3"": """", ""4"": """", ""5"": """", ""6"": ""0.30"", ""7"": """", ""8"": ""GM"", ""9"": ""FILL Silty Sandy GRAVEL (GM) Dense, fine to coarse sized, light yellow brown, fine to coarse grained sand, low plasticity fines, dry."", ""10"": """", ""11"": """", ""12"": """", ""13"": """", ""14"": """", ""15"": """"}"
PG-14373 - Logs-pages-1.pdf,0,5,,,"0.60 CL-CI NATURAL Silty Sandy CLAY (CL-CI) Very stiff, Iow to medium plasticity","{""0"": """", ""1"": """", ""2"": """", ""3"": """", ""4"": """", ""5"": """", ""6"": ""0.60"", ""7"": """", ""8"": ""CL-CI"", ""9"": ""NATURAL Silty Sandy CLAY (CL-CI) Very stiff, Iow to medium plasticity"", ""10"": """", ""11"": """", ""12"": """", ""13"": """", ""14"": """", ""15"": """"}"
PG-14373 - Logs-pages-1.pdf,0,6,,,"1 1.80 CL Sandy CLAY (CL) Very stiff, Iow plasticity, light orange brown mottled pale grey, fine to coarse grained sand, dry.","{""0"": """", ""1"": """", ""2"": """", ""3"": """", ""4"": """", ""5"": """", ""6"": ""1 1.80"", ""7"": """", ""8"": ""CL"", ""9"": ""Sandy CLAY (CL) Very stiff, Iow plasticity, light orange brown mottled pale grey, fine to coarse grained sand, dry."", ""10"": """", ""11"": """", ""12"": """", ""13"": """", ""14"": """", ""15"": """"}"
PG-14373 - Logs-pages-1.pdf,0,7,,,"2 2.70 METASILTSTONE (XW) Extremely weathered, extremely low strength, ight orange red brown mottled light yellow.","{""0"": ""AD/T"", ""1"": """", ""2"": """", ""3"": """", ""4"": """", ""5"": """", ""6"": ""2 2.70"", ""7"": """", ""8"": """", ""9"": ""METASILTSTONE (XW) Extremely weathered, extremely low strength, ight orange red brown mottled light yellow."", ""10"": """", ""11"": """", ""12"": """", ""13"": """", ""14"": """", ""15"": """"}"
PG-14373 - Logs-pages-1.pdf,0,8,,,"3 4.00 METASILTSTONE (XW) Extremely weathered, extremely low strength light orange grey mottled light purple","{""0"": """", ""1"": """", ""2"": """", ""3"": """", ""4"": """", ""5"": """", ""6"": ""3 4.00"", ""7"": """", ""8"": """", ""9"": ""METASILTSTONE (XW) Extremely weathered, extremely low strength light orange grey mottled light purple"", ""10"": """", ""11"": """", ""12"": """", ""13"": """", ""14"": """", ""15"": """"}"
PG-14373 - Logs-pages-1.pdf,0,9,,,5.00 pale orange brown.,"{""0"": """", ""1"": """", ""2"": """", ""3"": """", ""4"": """", ""5"": """", ""6"": ""5.00"", ""7"": """", ""8"": """", ""9"": ""pale orange brown."", ""10"": """", ""11"": """", ""12"": """", ""13"": """", ""14"": """", ""15"": """"}"
PG-14373 - Logs-pages-1.pdf,0,10,,,Hole Terminated at 5.00 m,"{""0"": """", ""1"": """", ""2"": """", ""3"": """", ""4"": """", ""5"": """", ""6"": """", ""7"": """", ""8"": """", ""9"": ""Hole Terminated at 5.00 m"", ""10"": """", ""11"": """", ""12"": """", ""13"": """", ""14"": """", ""15"": """"}"
PG-14373 - Logs-pages-1.pdf,0,11,1.0,,,"{""0"": ""Remarks Method Water Samples and Tests AS - Auger Z Level (Date) U - Undisturbed Sample RR - Rock Roller D - Disturbed Sample 1. Groundwater not encountered. > Inflow WB- Washbore SPT - Standard Penetration Test B - Bulk Sample Classification Symbols and Support Soil Descriptions C - Casing Based on Unified Soil Classification System""}"
