file_name,page_index,row_index,depth_from_m,depth_to_m,description,raw_cells_json
PG-14373 - Logs-pages-1.pdf,0,0,17.0,10.0,,"{""0"": ""Client: Griffith University Commenced: 17/10/2025 Project Name: Proposed Sensor Testing Logged By: SD Hole Location: 1 Parklands Drive, Southport Checked By: Hole Position:""}"
PG-14373 - Logs-pages-1.pdf,0,1,1.0,50.0,,"{""0"": ""Drill Model and Mounting: —1H50 2019 RL Surface: No survey Hole Diameter: Datum: AHD Operator: MW""}"
PG-14373 - Logs-pages-1.pdf,0,2,,,,"{""0"": ""Drilling Information"", ""1"": ""Soil Description"", ""2"": """"}"
PG-14373 - Logs-pages-1.pdf,0,3,3.0,,"2 sj = Samples Tests Remarks rans © > ® ad RL (m) Depth (m) D jo] aa 2 ‘< a © O ¢ 2 = © 2 =O RE 8S On Material Description Fraction, Colour, Structure, Bedding, Plasticity, Sensitivity, Additional DCP TEST (AS 1289.6.3.2-1997) Blows per 100 mm 0 5 10 15 20 25","{""0"": ""3 le] s s o ="", ""1"": ""D = a @ :"", ""2"": ""2 sj ="", ""3"": ""Samples Tests Remarks"", ""4"": ""rans © > ® ad"", ""5"": ""RL (m)"", ""6"": ""Depth (m)"", ""7"": ""D jo] aa 2 ‘< a © O"", ""8"": ""¢ 2 = © 2 =O RE 8S On"", ""9"": ""Material Description Fraction, Colour, Structure, Bedding, Plasticity, Sensitivity, Additional"", ""10"": ""DCP TEST (AS 1289.6.3.2-1997) Blows per 100 mm 0 5 10 15 20 25""}"
PG-14373 - Logs-pages-1.pdf,0,4,,,"a oe i 0.30 KPO FILL Silty Sandy GRAVEL (GM) Dense, fine to coarse sized, light yellow brown, fine to coarse grained sand, low plasticity fines, dry. — — — ;","{""0"": ""a"", ""1"": ""a"", ""2"": ""a"", ""3"": ""oe"", ""4"": ""i"", ""5"": """", ""6"": ""0.30"", ""7"": ""KPO"", ""8"": """", ""9"": ""FILL Silty Sandy GRAVEL (GM) Dense, fine to coarse sized, light yellow brown, fine to coarse grained sand, low plasticity fines, dry."", ""10"": ""—"", ""11"": ""—"", ""12"": ""—"", ""13"": """", ""14"": """", ""15"": "";""}"
PG-14373 - Logs-pages-1.pdf,0,5,,,"a NATURAL Silty Sandy CLAY (CL-Cl) Very stiff, low to medium plasticity, pale orange red brown, fine to coarse grained sand, dry to moist. — 7 '","{""0"": """", ""1"": """", ""2"": """", ""3"": """", ""4"": """", ""5"": """", ""6"": ""a"", ""7"": """", ""8"": """", ""9"": ""NATURAL Silty Sandy CLAY (CL-Cl) Very stiff, low to medium plasticity, pale orange red brown, fine to coarse grained sand, dry to moist."", ""10"": ""—"", ""11"": ""7"", ""12"": """", ""13"": """", ""14"": """", ""15"": ""'""}"
PG-14373 - Logs-pages-1.pdf,0,6,,,"1.80 —e : _—t ° : — _, . . — ° ° a ° —_, —_ te — ° —_ 3 — ef e —_— + ° —_ 2 te _- ¢ . — Canes Sandy CLAY (CL) Very stiff, low plasticity, light orange brown mottled pale grey, fine to coarse grained sand, dry. : . ;","{""0"": """", ""1"": """", ""2"": """", ""3"": """", ""4"": """", ""5"": """", ""6"": ""1.80"", ""7"": ""—e : _—t ° : — _, . . — ° ° a ° —_, —_ te — ° —_ 3 — ef e —_— + ° —_ 2 te _- ¢ . — Canes"", ""8"": """", ""9"": ""Sandy CLAY (CL) Very stiff, low plasticity, light orange brown mottled pale grey, fine to coarse grained sand, dry."", ""10"": "":"", ""11"": ""."", ""12"": "";"", ""13"": """", ""14"": """", ""15"": """"}"
PG-14373 - Logs-pages-1.pdf,0,7,,,"| | 2.70 = 7 METASILTSTONE (XW) Extremely weathered, extremely low strength, light orange red brown mottled light yellow. : : : : |","{""0"": "": an) <"", ""1"": """", ""2"": """", ""3"": """", ""4"": """", ""5"": """", ""6"": ""| | 2.70"", ""7"": ""="", ""8"": ""7"", ""9"": ""METASILTSTONE (XW) Extremely weathered, extremely low strength, light orange red brown mottled light yellow."", ""10"": "":"", ""11"": "":"", ""12"": "":"", ""13"": "":"", ""14"": """", ""15"": ""|""}"
PG-14373 - Logs-pages-1.pdf,0,8,,,", 4.00 METASILTSTONE (XW) Extremely weathered, extremely low strength, light orange grey mottled light purple.","{""0"": """", ""1"": """", ""2"": """", ""3"": """", ""4"": """", ""5"": """", ""6"": "", 4.00"", ""7"": """", ""8"": """", ""9"": ""METASILTSTONE (XW) Extremely weathered, extremely low strength, light orange grey mottled light purple."", ""10"": """", ""11"": """", ""12"": """", ""13"": """", ""14"": """", ""15"": """"}"
PG-14373 - Logs-pages-1.pdf,0,9,,,"7 / vT - 5.00 : ; METASILTSTONE (XW) Extremely weathered, extremely low strength, pale orange brown. ; ; ; ; ; |","{""0"": "":"", ""1"": """", ""2"": """", ""3"": ""7"", ""4"": """", ""5"": ""/"", ""6"": ""vT - 5.00"", ""7"": "":"", ""8"": "";"", ""9"": ""METASILTSTONE (XW) Extremely weathered, extremely low strength, pale orange brown."", ""10"": "";"", ""11"": "";"", ""12"": "";"", ""13"": "";"", ""14"": "";"", ""15"": ""|""}"
PG-14373 - Logs-pages-1.pdf,0,10,,,7 | / 7 / ; Hole Terminated at 5.00 m ; ; ; ; ; |,"{""0"": """", ""1"": """", ""2"": """", ""3"": ""7"", ""4"": ""|"", ""5"": ""/"", ""6"": ""7"", ""7"": ""/"", ""8"": "";"", ""9"": ""Hole Terminated at 5.00 m"", ""10"": "";"", ""11"": "";"", ""12"": "";"", ""13"": "";"", ""14"": "";"", ""15"": ""|""}"
PG-14373 - Logs-pages-1.pdf,0,11,1.0,,,"{""0"": ""Method Water Samples and Tests Remarks AS - Auger XZ U_ - Undisturbed Sample RR - Rock Roller >< Level (Date) D__ - Disturbed Sample 1. Groundwater not encountered. WB- Washbore [=> Inflow SPT - Standard Penetration Test B- - Bulk Sample Ss rt Classification Symbols and C ees Soil Descriptions ~ vasing Based on Unified Soil Classification System""}"
